INSTID,UKPRN,Region of HE provider,HE provider,Full-time postgraduate - UK domicile - Higher degree (research),Full-time postgraduate - UK domicile - Higher degree (taught),Full-time postgraduate - UK domicile - Other postgraduate,Full-time postgraduate - UK domicile - Total UK domicile,Full-time postgraduate - Other EU domicile - Higher degree (research),Full-time postgraduate - Other EU domicile - Higher degree (taught),Full-time postgraduate - Other EU domicile - Other postgraduate,Full-time postgraduate - Other EU domicile - Total other EU domicile,Full-time postgraduate - Non-EU domicile - Higher degree (research),Full-time postgraduate - Non-EU domicile - Higher degree (taught),Full-time postgraduate - Non-EU domicile - Other postgraduate,Full-time postgraduate - Non-EU domicile - Total non-EU domicile,Full-time postgraduate - Not known domicile - Higher degree (research),Full-time postgraduate - Not known domicile - Higher degree (taught),Full-time postgraduate - Not known domicile - Other postgraduate,Full-time postgraduate - Not known domicile - Total non-EU domicile,Full-time postgraduate - All domiciles - Higher degree (research),Full-time postgraduate - All domiciles - Higher degree (taught),Full-time postgraduate - All domiciles - Other postgraduate,Full-time postgraduate - All domiciles - Total full-time postgraduate,Part-time postgraduate - UK domicile - Higher degree (research),Part-time postgraduate - UK domicile - Higher degree (taught),Part-time postgraduate - UK domicile - Other postgraduate,Part-time postgraduate - UK domicile - Total UK domicile,Part-time postgraduate - Other EU domicile - Higher degree (research),Part-time postgraduate - Other EU domicile - Higher degree (taught),Part-time postgraduate - Other EU domicile - Other postgraduate,Part-time postgraduate - Other EU domicile - Total other EU domicile,Part-time postgraduate - Non-EU domicile - Higher degree (research),Part-time postgraduate - Non-EU domicile - Higher degree (taught),Part-time postgraduate - Non-EU domicile - Other postgraduate,Part-time postgraduate - Non-EU domicile - Total non-EU domicile,Part-time postgraduate - Not known domicile - Higher degree (research),Part-time postgraduate - Not known domicile - Higher degree (taught),Part-time postgraduate - Not known domicile - Other postgraduate,Part-time postgraduate - Not known domicile - Total non-EU domicile,Part-time postgraduate - All domiciles - Higher degree (research),Part-time postgraduate - All domiciles - Higher degree (taught),Part-time postgraduate - All domiciles - Other postgraduate,Part-time postgraduate - All domiciles - Total Part-time postgraduate,Full-time undergraduate - UK domicile - First degree,Full-time undergraduate - UK domicile - Other undergraduate,Full-time undergraduate - UK domicile - Total UK domicile,Full-time undergraduate - Other EU domicile - First degree,Full-time undergraduate - Other EU domicile - Other undergraduate,Full-time undergraduate - Other EU domicile - Total other EU domicile,Full-time undergraduate - Non-EU domicile - First degree,Full-time undergraduate - Non-EU domicile - Other undergraduate,Full-time undergraduate - Non-EU domicile - Total non-EU domicile,Full-time undergraduate - Not known domicile - First degree,Full-time undergraduate - Not known domicile - Other undergraduate,Full-time undergraduate - Not known domicile - Total non-EU domicile,Full-time undergraduate - All domiciles - First degree,Full-time undergraduate - All domiciles - Other undergraduate,Full-time undergraduate - All domiciles - Total full-time undergraduate,Part-time undergraduate - UK domicile - First degree,Part-time undergraduate - UK domicile - Other undergraduate,Part-time undergraduate - UK domicile - Total UK domicile,Part-time undergraduate - Other EU domicile - First degree,Part-time undergraduate - Other EU domicile - Other undergraduate,Part-time undergraduate - Other EU domicile - Total other EU domicile,Part-time undergraduate - Non-EU domicile - First degree,Part-time undergraduate - Non-EU domicile - Other undergraduate,Part-time undergraduate - Non-EU domicile - Total non-EU domicile,Part-time undergraduate - Not known domicile - First degree,Part-time undergraduate - Not known domicile - Other undergraduate,Part-time undergraduate - Not known domicile - Total non-EU domicile,Part-time undergraduate - All domiciles - First degree,Part-time undergraduate - All domiciles - Other undergraduate,Part-time undergraduate - All domiciles - Total Part-time undergraduate,Female,Male,Other,20 and under,21-24,25-29,30 and over,Age unknown,Known to have a disability,No known disability,White,Black,Asian,Other ethnicity (including mixed),Ethnicity not known,Total UK domiciled students,Total students
0047,10000291,EAST,Anglia Ruskin University,110,470,70,650,20,140,0,165,180,780,0,960,0,0,0,0,315,1390,70,1775,300,740,685,1725,35,25,0,60,35,65,5,105,0,0,0,0,365,830,695,1890,12035,765,12795,635,5,640,985,0,985,0,0,0,13650,770,14425,1000,1785,2785,20,15,35,15,15,25,0,0,0,1030,1815,2845,12760,8170,0,6565,5150,2860,6345,10,2365,18570,12270,2700,1675,945,365,17955,20935
0108,10007759,WMID,Aston University,85,310,40,435,10,160,15,185,75,585,25,685,0,0,0,0,175,1055,80,1305,60,515,430,1010,0,35,20,55,5,30,35,70,0,0,0,0,65,580,490,1135,7810,165,7975,380,5,390,750,55,805,0,0,0,8940,225,9165,660,55,715,30,10,45,65,65,130,0,0,0,760,130,885,5990,6500,0,6610,3835,975,1065,5,880,11615,3720,1135,4565,560,150,10130,12495
0048,10000571,SWES,Bath Spa University,15,150,490,655,0,25,5,30,15,255,0,275,0,0,0,0,30,430,495,955,70,390,390,855,5,5,5,15,0,10,5,15,0,0,0,0,75,410,400,885,4895,345,5245,150,5,155,275,30,305,0,0,0,5320,380,5705,80,5,80,0,0,0,0,0,0,0,0,0,80,5,80,5185,2445,0,4065,1835,555,1180,0,1460,6170,6250,110,125,270,80,6835,7630
0109,10007850,SWES,The University of Bath,410,250,45,710,120,125,5,250,250,1050,5,1305,0,0,0,0,780,1430,60,2265,225,605,460,1290,60,75,10,150,145,190,25,360,0,0,0,0,425,875,500,1800,9205,140,9345,1135,5,1135,1495,0,1495,0,0,0,11830,145,11975,20,85,105,0,10,10,0,0,0,0,0,0,20,95,115,7510,8645,0,8600,4780,1075,1700,0,1130,15025,9770,240,815,550,80,11455,16155
0026,10007152,EAST,University of Bedfordshire,35,365,455,855,5,80,0,85,110,575,5,690,0,0,0,0,150,1015,460,1630,100,625,590,1320,10,45,10,65,15,415,10,440,0,0,0,0,130,1085,610,1825,7245,210,7460,585,5,585,535,5,540,0,0,0,8365,220,8585,1330,835,2165,45,15,60,120,15,135,0,0,0,1495,870,2360,8915,5485,0,4310,4285,1930,3875,0,1205,13195,6020,3105,1745,725,200,11800,14400
0127,10007760,LOND,Birkbeck College,165,325,0,495,40,105,0,140,85,215,5,310,0,0,0,0,290,645,5,940,290,2380,190,2860,30,110,15,155,10,65,15,85,0,0,0,0,335,2550,220,3105,2460,95,2560,140,0,140,160,10,170,0,0,0,2760,110,2870,2520,2545,5065,105,75,180,15,70,90,0,0,0,2640,2695,5335,6555,5680,10,940,2085,2795,6430,0,1690,10560,6340,2090,1245,1150,155,10975,12245
0052,10007140,WMID,Birmingham City University,95,290,530,915,10,40,5,55,80,900,15,995,0,0,0,0,185,1235,550,1970,195,885,1210,2290,5,20,10,35,5,10,40,55,0,0,0,0,205,915,1260,2380,14780,735,15515,525,15,540,955,140,1090,0,0,0,16260,885,17145,695,1830,2525,5,10,20,15,15,30,0,0,0,715,1855,2575,15240,8820,0,10055,6380,2740,4890,0,2275,21790,12260,2630,4885,1205,260,21240,24065
0110,10006840,WMID,The University of Birmingham,1035,1070,645,2750,255,215,15,485,805,2745,10,3555,0,0,0,0,2090,4030,675,6795,515,2920,1370,4810,60,150,35,245,95,250,40,385,0,95,5,100,670,3415,1455,5540,17550,5,17555,600,35,630,2215,0,2215,0,0,0,20360,40,20400,5,990,995,0,80,80,0,20,20,0,0,0,5,1090,1095,18900,14930,0,15590,9095,3090,6055,5,3140,30690,19425,1170,3780,1240,490,26110,33830
0200,10000712,WMID,University College Birmingham,0,25,65,90,0,30,5,30,0,140,50,190,0,0,0,0,0,195,120,315,0,25,30,55,0,5,70,75,0,10,0,10,0,0,0,0,0,40,100,140,1950,1085,3035,425,95,515,315,45,360,0,0,0,2690,1220,3910,240,370,605,10,5,15,15,30,40,0,0,0,260,400,660,3535,1490,0,2195,1760,490,580,0,410,4615,1805,755,845,380,5,3790,5025
0007,10007811,EMID,Bishop Grosseteste University,5,5,265,275,0,0,0,0,0,0,0,0,0,0,0,0,5,5,265,275,15,65,30,110,0,0,0,0,0,0,0,0,0,0,0,0,15,65,30,110,1610,220,1830,0,0,0,0,0,0,0,0,0,1615,220,1835,0,15,15,0,0,0,0,5,5,0,0,0,0,20,20,1800,435,0,1105,520,200,410,0,515,1720,2150,15,25,40,5,2230,2235
